playerName,birthdate,matchShare,squadName,competitionName,Build_Up_Passing_Score,Defensive_Ability_Score,Final_Third_Quality_Score,Overall_RWB_Score,Build_Up_Passing_Score_Percentile_League,Defensive_Ability_Score_Percentile_League,Final_Third_Quality_Score_Percentile_League,Overall_RWB_Score_Percentile_League,Age,Cluster
Tobias Dombrowa,1999-07-24,20.5917,1. FC Lokomotive Leipzig,Regionalliga Nordost,1.3079960777607182,0.7002022408065377,2.0773927227464912,1.4414967250703528,92.85714285714286,92.85714285714286,100.0,100.0,25,2
Ruben Müller,2005-08-24,15.7851,SC Freiburg II,Regionalliga Südwest,0.1943973520630635,0.5527500086625267,2.130828151854,1.191214641778797,61.111111111111114,83.33333333333334,100.0,100.0,19,2
João Cancelo,1994-05-27,17.6109,Al-Hilal SFC,Saudi Pro League,1.7821490903581576,0.2175179728981169,1.5557281822662228,1.1326387906057729,100.0,66.66666666666666,100.0,100.0,31,2
Valgeir Valgeirsson,2002-09-22,17.6781,Örebro SK,Superettan,1.2797484352098951,1.3236831176645685,0.7471150143475143,1.0554405346809594,100.0,100.0,91.30434782608695,100.0,22,0
Jeong-won Eo,1999-07-08,9.3873,Pohang Steelers,K League 1,1.016417142436731,0.3841048412400076,1.5756260880470063,1.0467518625425016,90.0,70.0,100.0,100.0,25,2
Costinha,2000-03-26,10.7205,Olympiakos Piräus,Super League 1,0.2343780816679765,1.1839620746932966,1.2489167573067483,1.023274883264286,57.89473684210527,100.0,100.0,100.0,25,2
Mateus Henrique,2002-10-02,24.6325,América FC (MG),Campeonato Brasileiro Série B,1.4723798379128812,1.2925507598976973,0.5726382589129919,1.0045559500576169,100.0,96.66666666666669,90.0,100.0,22,0
Ruggero Frosinini,2001-02-16,14.2707,AC Trento,Serie C - Girone A,1.153358752705237,1.3941984539225922,0.5879409281107392,0.9832146270637871,96.29629629629628,100.0,92.5925925925926,100.0,24,0
Trent Alexander-Arnold,1998-10-07,22.9789,FC Liverpool,Premier League,1.2082348713704776,0.0244430548305983,1.6258268037895445,0.9818241051701,100.0,48.0,100.0,100.0,26,2
Jeremy Rostaing,1995-05-23,22.2002,Club Atlético Grau,Liga 1 Apertura,1.0326082152467535,1.0835951910450938,0.8315246808683576,0.9599660663058944,96.55172413793105,100.0,89.65517241379311,100.0,30,0
