playerName,birthdate,matchShare,squadName,competitionName,Build_Up_Passing_Score,Defensive_Ability_Score,Final_Third_Quality_Score,Overall_RWB_Score,Build_Up_Passing_Score_Percentile_League,Defensive_Ability_Score_Percentile_League,Final_Third_Quality_Score_Percentile_League,Overall_RWB_Score_Percentile_League
Tobias Dombrowa,1999-07-24,20.5917,1. FC Lokomotive Leipzig,Regionalliga Nordost,1.3079960777607182,0.7002022408065377,2.0773927227464912,1.4414967250703528,92.85714285714286,92.85714285714286,100.0,100.0
Ruben Müller,2005-08-24,15.7851,SC Freiburg II,Regionalliga Südwest,0.19439735206306352,0.5527500086625267,2.1308281518539998,1.191214641778797,61.111111111111114,83.33333333333334,100.0,100.0
João Cancelo,1994-05-27,17.6109,Al-Hilal SFC,Saudi Pro League,1.7821490903581576,0.21751797289811697,1.5557281822662228,1.1326387906057729,100.0,66.66666666666666,100.0,100.0
Valgeir Valgeirsson,2002-09-22,17.6781,Örebro SK,Superettan,1.2797484352098951,1.3236831176645683,0.7471150143475143,1.0554405346809594,100.0,100.0,91.30434782608695,100.0
Jeong-won Eo,1999-07-08,9.3873,Pohang Steelers,K League 1,1.016417142436731,0.3841048412400076,1.5756260880470063,1.0467518625425016,90.0,70.0,100.0,100.0
Costinha,2000-03-26,10.7205,Olympiakos Piräus,Super League 1,0.23437808166797655,1.1839620746932966,1.2489167573067483,1.023274883264286,57.89473684210527,100.0,100.0,100.0
Mateus Henrique,2002-10-02,24.6325,América FC (MG),Campeonato Brasileiro Série B,1.4723798379128812,1.2925507598976973,0.5726382589129919,1.0045559500576167,100.0,96.66666666666667,90.0,100.0
Ruggero Frosinini,2001-02-16,14.2707,AC Trento,Serie C - Girone A,1.153358752705237,1.3941984539225922,0.5879409281107392,0.9832146270637873,96.29629629629629,100.0,92.5925925925926,100.0
Trent Alexander-Arnold,1998-10-07,22.9789,FC Liverpool,Premier League,1.2082348713704776,0.024443054830598315,1.6258268037895445,0.9818241051700999,100.0,48.0,100.0,100.0
Jeremy Rostaing,1995-05-23,22.2002,Club Atlético Grau,Liga 1 Apertura,1.0326082152467535,1.0835951910450938,0.8315246808683576,0.9599660663058945,96.55172413793103,100.0,89.65517241379311,100.0
Leyser Chaverra,1997-04-01,13.0098,Independiente Medellín,Liga Dimayor I,1.5747898974513515,0.8304233211499804,0.762449188245294,0.9487082766031458,97.5609756097561,95.1219512195122,92.6829268292683,100.0
Carlos Sánchez,2002-04-13,10.0263,CF Pachuca,Liga MX Apertura,0.8538160229415098,0.7375784414382847,1.1420470500193927,0.9428368316004283,94.73684210526315,84.21052631578947,100.0,100.0
Alexander González,1992-09-13,8.9904,CS Emelec,LigaPro Serie A Primera Etapa,1.2045029314438198,0.2330937933426779,1.3450133285447137,0.9277394118038225,100.0,70.0,100.0,100.0
Alessio Guerini,2004-06-11,21.3479,FC Crotone,Serie C - Girone C,0.6175710486939588,1.5348223505909575,0.5712569374324052,0.9177676542902092,77.27272727272727,100.0,90.9090909090909,100.0
Diego Ruíz,1997-10-02,9.3002,Boyacá Patriotas,Liga Dimayor I,0.819789929229814,0.6837038339038415,1.0928778869886762,0.8950493768572115,92.6829268292683,87.8048780487805,100.0,97.5609756097561
Agustín Lagos,2001-10-09,14.4124,Club Atlético Tucumán,Liga Profesional de Fútbol,0.48463777709458417,1.4444724821662223,0.5776100970573267,0.8624174678528918,71.15384615384616,98.07692307692307,88.46153846153845,100.0
Jimmy Muitt,1995-10-07,12.6836,Dorking Wanderers,National League South,-0.01783313007651164,0.3557324486613827,1.6392232090400918,0.858590175084223,54.166666666666664,75.0,100.0,100.0
Juanjo Nieto,1994-10-03,10.3061,NK Celje,Prva Liga,1.5903726478284363,0.7457643782479303,0.6152728669451698,0.8559648520777893,100.0,92.3076923076923,84.61538461538461,100.0
